Plampa23756	K01803
Plampa14326	K15146
Plampa116513	K05531
Plampa3368	K23048
Plampa27866	K19511
Plampa346070	K01017
Plampa16812	K25166
Plampa144089	K06641
Plampa72792	K01363
Plampa54553	K03544
Plampa9825	K03234
Plampa4942	K05110
Plampa349503	K07478
Plampa19749	K09584
Plampa112431	K18327
Plampa211144	K17279
Plampa129917	K14455
Plampa42556	K02872
Plampa256623	K02358
Plampa68457	K08913
Plampa80266	K16506
Plampa309638	K02870
Plampa20003	K23934
Plampa323970	K02878
Plampa2602	K02373
Plampa3790	K12400
Plampa57465	K12818
Plampa21276	K10840
Plampa10795	K19770
Plampa3647	K08074
Plampa28938	K01365
Plampa5783	K00815
Plampa79343	K18442
Plampa304774	K09048
Plampa30480	K00135
Plampa362437	K08799
Plampa80369	K13291
Plampa70007	K09624
Plampa93967	K12132
Plampa2439	K00111
Plampa704	K10601
Plampa271550	K11866
Plampa70961	K08592
Plampa49658	K18468
Plampa184832	K23025
Plampa9780	K07497
Plampa269989	K00820
Plampa87683	K14753
Plampa120527	K00234
Plampa68095	K20473
Plampa25052	K10380
Plampa101196	K06215
Plampa100771	K09481
Plampa132775	K00128
Plampa6064	K11306
Plampa18963	K05857
Plampa10949	K10591
Plampa270865	K11584
Plampa349876	K19683
Plampa168047	K06082
Plampa59655	K03403
Plampa108857	K03676
Plampa56320	K04600
Plampa39587	K11593
Plampa56265	K08967
Plampa2894	K11487
Plampa81195	K02894
Plampa361499	K24763
Plampa51525	K01204
Plampa226332	K00128
Plampa31176	K14947
Plampa1508	K22184
Plampa7514	K10761
Plampa11558	K24749
Plampa368774	K05658
Plampa2663	K08838
Plampa4215	K04963
Plampa367872	K06626
Plampa36965	K16726
Plampa2539	K09539
Plampa91013	K20053
Plampa119271	K00281
Plampa75403	K09523
Plampa120715	K07937
Plampa5834	K09611
Plampa78947	K01563
Plampa234420	K24810
Plampa73926	K11643
Plampa3727	K03372
Plampa259517	K00698
Plampa183996	K13485
Plampa4895	K13093
Plampa25891	K01206
Plampa119188	K07497
Plampa176536	K10356
Plampa362565	K11478
Plampa6683	K11997
Plampa115328	K06630
Plampa111503	K20826
Plampa132867	K00390
Plampa40898	K18166
Plampa1550	K01074
Plampa79737	K02966
Plampa136581	K15423
Plampa85704	K02147
Plampa1524	K22128
Plampa111438	K07497
Plampa38328	K00569
Plampa348988	K01875
Plampa21416	K08860
Plampa135105	K01802
Plampa232122	K10400
Plampa36660	K04615
Plampa148864	K03027
Plampa271196	K01682
Plampa137849	K03953
Plampa26548	K22614
Plampa98167	K20718
Plampa313023	K20292
Plampa48817	K08678
Plampa279330	K00789
Plampa128508	K05011
Plampa35711	K02112
Plampa6144	K20630
Plampa4132	K15698
Plampa142826	K20281
Plampa155278	K02932
Plampa276871	K20221
Plampa9054	K03595
Plampa321274	K03654
Plampa16649	K02728
Plampa119500	K01113
Plampa344483	K05641
Plampa222682	K07901
Plampa334994	K10601
Plampa67787	K17849
Plampa167149	K13750
Plampa65879	K13788
Plampa312146	K01802
Plampa63409	K07304
Plampa110866	K01902
Plampa360926	K13420
Plampa27713	K03231
Plampa259315	K01092
Plampa9397	K20162
Plampa312121	K03038
Plampa164213	K01280
Plampa305570	K01880
Plampa61068	K13210
Plampa150933	K20463
Plampa87018	K20412
Plampa2529	K16197
Plampa78524	K01810
Plampa130889	K20792
Plampa9405	K09391
Plampa7460	K09532
Plampa325693	K17085
Plampa213362	K11865
Plampa3629	K03120
Plampa80859	K02938
Plampa108993	K09485
Plampa269380	K07304
Plampa1692	K12304
Plampa20756	K24229
Plampa40731	K18368
Plampa287262	K24475
Plampa106075	K01373
Plampa65174	K00847
Plampa5353	K17391
Plampa273558	K09480
Plampa109719	K01897
Plampa211212	K00218
Plampa9604	K00734
Plampa23546	K08516
Plampa6050	K20412
Plampa262826	K10263
Plampa27820	K04600
Plampa261810	K12812
Plampa3092	K12483
Plampa5180	K01809
Plampa23222	K17914
Plampa78961	K02599
Plampa57401	K18711
Plampa75951	K04972
Plampa46235	K08770
Plampa221205	K13238
Plampa179848	K08794
Plampa18234	K07497
Plampa135382	K01278
Plampa17779	K02938
Plampa129274	K16302
Plampa59333	K11086
Plampa87081	K08848
Plampa51662	K19467
Plampa140086	K03111
Plampa39148	K05692
Plampa860	K10165
Plampa173605	K15190
Plampa255385	K01080
Plampa33809	K05863
Plampa4740	K10612
Plampa61106	K04534
Plampa72737	K07874
Plampa76923	K00861
Plampa51350	K10408
Plampa22543	K21852
Plampa24150	K03283
Plampa265992	K05658
Plampa40405	K05309
Plampa166994	K09458
Plampa5250	K20493
Plampa53879	K11594
Plampa315319	K17607
Plampa2575	K16610
Plampa22773	K01190
Plampa318823	K01099
Plampa182680	K03501
Plampa7111	K04615
Plampa2330	K07304
Plampa235099	K25177
Plampa6933	K23379
Plampa1821	K21424
Plampa37711	K13984
Plampa13674	K13912
Plampa67825	K24788
Plampa44324	K02883
Plampa204757	K21456
Plampa275381	K00645
Plampa176128	K17506
Plampa334243	K08624
Plampa42832	K00382
Plampa42366	K06928
Plampa4805	K00914
Plampa6297	K12844
Plampa283492	K01519
Plampa12403	K08815
Plampa55158	K03263
Plampa125660	K12375
Plampa23976	K17686
Plampa105438	K00128
Plampa345685	K01637
Plampa259551	K18730
Plampa266360	K22417
Plampa219751	K14769
Plampa3781	K24971
Plampa127675	K16578
Plampa10857	K09521
Plampa100564	K10144
Plampa959	K10370
Plampa29666	K13912
Plampa5279	K12848
Plampa120051	K10408
Plampa344520	K00819
Plampa241244	K00626
Plampa64266	K03809
Plampa54549	K17307
Plampa69493	K07881
Plampa8025	K08455
Plampa141024	K01869
Plampa355199	K03113
Plampa88774	K24027
Plampa15322	K09848
Plampa356294	K08232
Plampa276702	K24166
Plampa35277	K06129
Plampa258275	K18405
Plampa82266	K10362
Plampa347834	K16601
Plampa38160	K07238
Plampa371763	K17586
Plampa1223	K01424
Plampa1866	K18134
Plampa56568	K02941
Plampa130753	K03234
Plampa4789	K08341
Plampa4027	K06230
Plampa261786	K10357
Plampa41298	K17592
Plampa257019	K01758
Plampa175818	K04798
Plampa308106	K01358
Plampa63467	K00413
Plampa21315	K20476
Plampa20726	K11997
Plampa88752	K04043
Plampa143709	K02218
Plampa101862	K00510
Plampa173180	K16186
Plampa4569	K20994
Plampa2900	K22754
Plampa110503	K01726
Plampa1885	K08745
Plampa317154	K06269
Plampa9670	K12035
Plampa68305	K16290
Plampa25161	K11446
Plampa349327	K02984
Plampa2325	K08366
Plampa12216	K17543
Plampa88253	K16910
Plampa3997	K02137
Plampa44733	K16904
Plampa310918	K10408
Plampa353024	K02257
Plampa253388	K00574
Plampa3952	K10666
Plampa3358	K17923
Plampa313675	K25004
Plampa267276	K19496
Plampa364439	K19944
Plampa99107	K13348
Plampa81697	K11584
Plampa4721	K10842
Plampa135215	K17953
Plampa133992	K18442
Plampa85741	K07497
Plampa317900	K19589
Plampa99258	K15276
Plampa311255	K09624
Plampa11903	K09230
Plampa351082	K01363
Plampa273774	K02947
Plampa597	K24818
Plampa133096	K18466
Plampa321113	K11069
Plampa15628	K10610
Plampa50351	K05954
Plampa2672	K14429
Plampa121673	K24470
Plampa68837	K03232
Plampa58843	K03283
Plampa178730	K01279
Plampa233688	K09584
Plampa73145	K24675
Plampa2378	K08621
Plampa72883	K15292
Plampa90372	K16944
Plampa13287	K14006
Plampa133431	K21891
Plampa9936	K07098
Plampa39353	K12035
Plampa55550	K03036
Plampa21388	K12311
Plampa77819	K20865
Plampa219856	K18668
Plampa107602	K12460
Plampa56032	K03236
Plampa350271	K20366
Plampa348996	K00261
Plampa59526	K11169
Plampa63795	K08906
Plampa88933	K15001
Plampa265278	K01052
Plampa263453	K00872
Plampa260056	K04365
Plampa6184	K15839
Plampa36779	K02885
Plampa347610	K07390
Plampa85779	K00889
Plampa325619	K08909
Plampa308298	K15262
Plampa88515	K01135
Plampa48862	K21440
Plampa264840	K22414
Plampa5470	K23327
Plampa314352	K09458
Plampa3271	K21421
Plampa12118	K10846
Plampa21084	K21870
Plampa2876	K16729
Plampa366536	K00831
Plampa329561	K00860
Plampa268733	K00966
Plampa2262	K17589
Plampa101508	K08745
Plampa105918	K00382
Plampa2659	K12492
Plampa214351	K09667
Plampa33750	K02112
Plampa4071	K14620
Plampa89468	K03257
Plampa281751	K03267
Plampa350897	K02145
Plampa76117	K02295
Plampa80164	K02940
Plampa37247	K18655
Plampa134274	K16302
Plampa88920	K09500
Plampa223439	K02331
Plampa10188	K23860
Plampa178151	K17790
Plampa49606	K15261
Plampa148903	K07937
Plampa19307	K21440
Plampa302315	K13126
Plampa106002	K10809
Plampa173753	K04955
Plampa31217	K11251
Plampa165736	K04707
Plampa201660	K00943
Plampa170830	K05410
Plampa19789	K05087
Plampa4261	K01102
Plampa13122	K06689
Plampa2418	K18914
Plampa256460	K03627
Plampa100568	K00615
Plampa55193	K21440
Plampa70760	K24889
Plampa263580	K00794
Plampa265293	K17609
Plampa1837	K10751
Plampa361721	K24808
Plampa45766	K15272
Plampa39469	K05695
Plampa321993	K04739
Plampa166270	K02717
Plampa1922	K01816
Plampa4437	K15275
Plampa75979	K08956
Plampa35798	K10380
Plampa47582	K11805
Plampa218977	K01057
Plampa28645	K01698
Plampa128920	K01596
Plampa319816	K01563
Plampa60182	K04424
Plampa29855	K23883
Plampa172850	K22068
Plampa181633	K09414
Plampa1905	K12474
Plampa131938	K02155
Plampa214764	K17278
Plampa357436	K10661
Plampa5651	K08838
Plampa214	K01866
Plampa5489	K06619
Plampa263460	K12350
Plampa63317	K03113
Plampa279378	K04527
Plampa165292	K00472
Plampa216272	K03671
Plampa23710	K10414
Plampa125932	K18443
Plampa227637	K01054
Plampa1430	K08674
Plampa32920	K08913
Plampa315112	K00477
Plampa231557	K17499
Plampa86979	K10575
Plampa6469	K10356
Plampa103384	K01673
Plampa235903	K00778
Plampa21467	K17662
Plampa4795	K00318
Plampa4993	K02890
Plampa4965	K00744
Plampa169782	K21797
Plampa6595	K12835
Plampa121218	K13412
Plampa304381	K12491
Plampa173902	K09496
Plampa67729	K22647
Plampa3635	K12200
Plampa262805	K01369
Plampa2706	K04097
Plampa30485	K01854
Plampa178070	K10609
Plampa59928	K06630
Plampa347687	K18443
Plampa169653	K01408
Plampa34960	K10408
Plampa280771	K12179
Plampa351446	K00434
Plampa345988	K01817
Plampa98872	K11527
Plampa309933	K20697
Plampa257435	K04508
Plampa265707	K03456
Plampa94318	K20286
Plampa32975	K14613
Plampa303217	K03097
Plampa3001	K17341
Plampa219607	K10408
Plampa120818	K07390
Plampa8651	K11802
Plampa11600	K11518
Plampa112124	K03234
Plampa3933	K12231
Plampa59363	K08825
Plampa20922	K02881
Plampa5849	K10626
Plampa269046	K22381
Plampa278777	K22803
Plampa1585	K05681
Plampa338342	K10395
Plampa25662	K10380
Plampa261665	K09113
Plampa7843	K23697
Plampa19701	K09848
Plampa256563	K05349
Plampa314279	K06944
Plampa88652	K01115
Plampa13681	K13207
Plampa82376	K10255
Plampa1701	K04615
Plampa259618	K00760
Plampa11922	K08798
Plampa35671	K06780
Plampa190259	K17263
Plampa215997	K12375
Plampa38670	K01139
Plampa305815	K24992
Plampa344997	K11592
Plampa65763	K09636
Plampa74202	K17608
Plampa14563	K05743
Plampa26827	K01764
Plampa75253	K19986
Plampa12163	K12872
Plampa364291	K11092
Plampa5287	K14437
Plampa33743	K02998
Plampa349514	K01285
Plampa88170	K08738
Plampa29241	K00106
Plampa326953	K06699
Plampa98855	K09290
Plampa20145	K20989
Plampa715	K09572
Plampa1231	K12172
Plampa263438	K04077
Plampa75137	K10481
Plampa1345	K17551
Plampa54084	K05695
Plampa291103	K02155
Plampa107459	K18669
Plampa345853	K04730
Plampa314365	K00088
Plampa183454	K01756
Plampa5133	K19932
Plampa35556	K01084
Plampa31504	K12823
Plampa233816	K15909
Plampa363789	K10359
Plampa358977	K08730
Plampa7037	K16755
Plampa19906	K19409
Plampa310574	K02930
Plampa38009	K07497
Plampa284005	K01555
Plampa5360	K12462
Plampa55311	K09565
Plampa126102	K10590
Plampa49441	K00921
Plampa6694	K07407
Plampa115461	K16726
Plampa2218	K11424
Plampa305590	K10529
Plampa224821	K10380
Plampa273771	K07390
Plampa73787	K08066
Plampa305115	K13412
Plampa6859	K11850
Plampa3021	K08860
Plampa8440	K04237
Plampa169367	K03257
Plampa262581	K02866
Plampa169996	K02889
Plampa56638	K22615
Plampa272008	K01100
Plampa13265	K01802
Plampa119454	K08911
Plampa129267	K07304
Plampa2729	K13710
Plampa257362	K05034
Plampa11591	K11088
Plampa1665	K15377
Plampa43936	K09451
Plampa7868	K15190
Plampa12103	K03654
Plampa133930	K08967
Plampa192469	K11838
Plampa29590	K07937
Plampa2495	K14825
Plampa6621	K00280
Plampa47405	K00387
Plampa219331	K06237
Plampa22872	K12160
Plampa5808	K09113
Plampa3530	K11340
Plampa76306	K01872
Plampa72238	K08770
Plampa307149	K02649
Plampa359627	K04404
Plampa29727	K02955
Plampa172099	K00914
Plampa82521	K12670
Plampa53464	K18032
Plampa37716	K10442
Plampa224165	K04353
Plampa218385	K05768
Plampa18380	K11273
Plampa221865	K02732
Plampa13812	K08884
Plampa76326	K07497
Plampa166558	K05862
Plampa130604	K01365
Plampa63372	K08910
Plampa2835	K10693
Plampa6316	K24720
Plampa2656	K23292
Plampa5453	K20409
Plampa89252	K04634
Plampa6704	K02878
Plampa210656	K17920
Plampa3960	K06233
Plampa6919	K12646
Plampa209586	K24419
Plampa147852	K04599
Plampa23740	K08727
Plampa350809	K10358
Plampa255011	K01365
Plampa255734	K24469
Plampa68542	K16496
Plampa13432	K04615
Plampa307207	K08957
Plampa120769	K04392
Plampa44956	K17543
Plampa303808	K19511
Plampa218430	K06972
Plampa104864	K12898
Plampa245404	K11654
Plampa181318	K04677
Plampa22143	K01179
Plampa4538	K18405
Plampa53165	K02989
Plampa72709	K01897
Plampa312383	K01662
Plampa39831	K23820
Plampa171588	K04409
Plampa85421	K15377
Plampa191484	K03013
Plampa91917	K02693
Plampa3122	K00799
Plampa16710	K15666
Plampa218885	K21852
Plampa4338	K23905
Plampa7172	K05757
Plampa56455	K03951
Plampa76192	K09536
Plampa346509	K11086
Plampa269283	K13989
Plampa42984	K17633
Plampa213484	K01956
Plampa275989	K04498
Plampa186056	K07126
Plampa4020	K17935
Plampa25657	K04564
Plampa183079	K08766
Plampa119660	K00825
Plampa257337	K06168
Plampa313937	K00079
Plampa5672	K05700
Plampa124981	K08151
Plampa118790	K10350
Plampa35947	K12567
Plampa258694	K12883
Plampa24855	K05110
Plampa1986	K16726
Plampa70904	K23339
Plampa12753	K05502
Plampa10211	K09174
Plampa321502	K00413
Plampa209812	K02198
Plampa61880	K00681
Plampa140708	K23902
Plampa35651	K02940
Plampa43251	K14077
Plampa356878	K03086
Plampa123715	K04392
Plampa270056	K07494
Plampa120437	K04534
Plampa1479	K15255
Plampa85772	K02111
Plampa26671	K03909
Plampa178210	K04393
Plampa99424	K16575
Plampa33860	K04079
Plampa68021	K02865
Plampa104	K12823
Plampa312484	K13289
Plampa8148	K03403
Plampa121326	K22390
Plampa197232	K20308
Plampa212148	K23624
Plampa26446	K05110
Plampa115087	K12396
Plampa218571	K01256
Plampa212052	K04600
Plampa41804	K11430
Plampa321913	K01414
Plampa283732	K13412
Plampa92518	K00849
Plampa15254	K07497
Plampa172664	K13539
Plampa4582	K10627
Plampa284625	K07904
Plampa5558	K25168
Plampa10563	K25081
Plampa36043	K00993
Plampa36989	K12591
Plampa134991	K11414
Plampa16661	K13157
Plampa7355	K04634
Plampa43415	K08057
Plampa7447	K21440
Plampa41681	K09884
Plampa61287	K10772
Plampa237134	K12844
Plampa6881	K02936
Plampa22410	K05695
Plampa352472	K09485
Plampa3652	K17616
Plampa138995	K01491
Plampa430	K01166
Plampa6203	K15637
Plampa177476	K07526
Plampa138780	K01230
Plampa14732	K11997
Plampa54702	K03267
Plampa112	K10577
Plampa19336	K04468
Plampa210844	K08849
Plampa256046	K03696
Plampa264	K21596
Plampa125817	K11837
Plampa67516	K09569
Plampa73597	K14689
Plampa20110	K10459
Plampa77229	K07497
Plampa257836	K14563
Plampa139847	K13358
Plampa7069	K22262
Plampa26467	K00036
Plampa143952	K00249
Plampa166886	K01897
Plampa36408	K04437
Plampa28176	K01527
Plampa125147	K23292
Plampa352242	K01179
Plampa261764	K10410
Plampa49644	K03686
Plampa8742	K10400
Plampa11897	K16571
Plampa223921	K01358
Plampa116381	K12837
Plampa65731	K12832
Plampa2098	K11251
Plampa37031	K23355
Plampa23685	K15712
Plampa1950	K05687
Plampa94332	K00626
Plampa311572	K03872
Plampa1789	K23558
Plampa350734	K24810
Plampa47931	K06110
Plampa175175	K02913
Plampa30122	K04393
Plampa60593	K06662
Plampa103461	K24675
Plampa318599	K00873
Plampa48856	K15042
Plampa24897	K00827
Plampa113828	K01240
Plampa282741	K01298
Plampa1129	K23334
Plampa85825	K12397
Plampa77150	K09624
Plampa25743	K02938
Plampa63472	K01365
Plampa209837	K09645
Plampa126869	K09229
Plampa172936	K02541
Plampa219682	K18655
Plampa6156	K19613
Plampa274340	K22384
Plampa211733	K04564
Plampa5079	K20705
Plampa285019	K18585
Plampa45693	K08798
Plampa13407	K15013
Plampa88529	K14015
Plampa53948	K12304
Plampa77380	K08491
Plampa133927	K07817
Plampa229791	K00461
Plampa182134	K01074
Plampa77233	K17095
Plampa221268	K14610
Plampa135172	K12819
Plampa215760	K09553
Plampa112217	K24183
Plampa6944	K09444
Plampa274586	K04536
Plampa43946	K10408
Plampa15691	K12035
Plampa72310	K18754
Plampa119589	K05762
Plampa241555	K18655
Plampa8604	K05110
Plampa51441	K12821
Plampa46308	K01881
Plampa264488	K02930
Plampa59214	K03234
Plampa98146	K01139
Plampa12894	K05110
Plampa64918	K08967
Plampa67714	K15272
Plampa168597	K24835
Plampa79812	K15414
Plampa2	K13050
Plampa304523	K04712
Plampa66084	K09497
Plampa317352	K01711
Plampa172923	K11824
Plampa142124	K10808
Plampa1910	K11883
Plampa113475	K06530
Plampa300	K18758
Plampa57784	K07497
Plampa28074	K02599
Plampa167760	K23341
Plampa361708	K06756
Plampa367433	K05808
Plampa385496	K17592
Plampa7806	K21440
Plampa65560	K14996
Plampa179172	K09503
Plampa350929	K03234
Plampa357560	K20301
Plampa1394	K24627
Plampa45940	K18408
Plampa45841	K10406
Plampa10695	K01201
Plampa211081	K06756
Plampa27464	K08843
Plampa319411	K00794
Plampa302010	K10590
Plampa9497	K14050
Plampa67613	K00099
Plampa9620	K12821
Plampa6123	K04346
Plampa21553	K00864
Plampa21017	K08738
Plampa111041	K01342
Plampa12958	K03173
Plampa254982	K15100
Plampa346116	K14190
Plampa5702	K10884
Plampa170065	K01363
Plampa186479	K03243
Plampa76070	K22530
Plampa41780	K21440
Plampa35475	K00164
Plampa346379	K02256
Plampa26908	K18417
Plampa80406	K07071
Plampa13303	K00432
Plampa323826	K24810
Plampa308609	K01692
Plampa28546	K08892
Plampa91328	K13431
Plampa132129	K00485
Plampa4080	K08673
Plampa19145	K12304
Plampa349270	K20032
Plampa174695	K20408
Plampa81098	K24428
Plampa50719	K24047
Plampa174942	K20358
Plampa112636	K01530
Plampa140943	K04569
Plampa222785	K10088
Plampa42611	K09495
Plampa6060	K07903
Plampa317311	K09582
Plampa3334	K14790
Plampa4068	K24928
Plampa311895	K06820
Plampa134478	K13293
Plampa10331	K07375
Plampa221350	K13348
Plampa66159	K18695
Plampa266121	K22991
Plampa345076	K23727
Plampa214414	K16803
Plampa326470	K06640
Plampa14244	K04615
Plampa2355	K09533
Plampa2003	K06584
Plampa55216	K08876
Plampa2606	K15255
Plampa13072	K05989
Plampa40993	K10225
Plampa126228	K14844
Plampa345467	K03963
Plampa74614	K13192
Plampa2448	K10268
Plampa351098	K18442
Plampa62221	K07936
Plampa362664	K02947
Plampa35444	K08770
Plampa72756	K22139
Plampa363	K23488
Plampa54225	K20352
Plampa39802	K06535
Plampa77337	K02706
Plampa212169	K12402
Plampa38914	K08052
Plampa99969	K06013
Plampa55333	K08913
Plampa220846	K08266
Plampa83531	K17570
Plampa2124	K07197
Plampa314233	K13111
Plampa170559	K07588
Plampa354626	K07874
Plampa126046	K11584
Plampa350679	K02692
Plampa14075	K04981
Plampa316409	K00029
Plampa84670	K17554
Plampa16837	K00507
Plampa225849	K10046
Plampa110597	K11348
Plampa40603	K22766
Plampa60308	K12168
Plampa21409	K04438
Plampa148426	K07897
Plampa314748	K00162
Plampa2874	K01134
Plampa100359	K11414
Plampa44955	K08770
Plampa28045	K04043
Plampa19939	K18405
Plampa778	K09849
Plampa84937	K02040
Plampa48432	K10380
Plampa165241	K20196
Plampa2288	K07432
Plampa363824	K03264
Plampa96453	K05691
Plampa19955	K06236
Plampa141946	K00011
Plampa137716	K10768
Plampa12562	K10380
Plampa120971	K10599
Plampa4610	K22382
Plampa327892	K00821
Plampa15046	K09624
Plampa2493	K23893
Plampa79674	K00855
Plampa256714	K02985
Plampa79015	K19683
Plampa59824	K02865
Plampa47863	K05658
Plampa6058	K06063
Plampa129002	K11204
Plampa26913	K01025
Plampa7390	K05948
Plampa8328	K24974
Plampa1414	K13024
Plampa77897	K02877
Plampa229957	K05700
Plampa23727	K00382
Plampa128114	K01349
Plampa349838	K00003
Plampa302902	K09214
Plampa215088	K22503
Plampa40010	K10393
Plampa352221	K10356
Plampa354748	K04554
Plampa32085	K16815
Plampa80163	K05868
Plampa174848	K01835
Plampa23007	K03555
Plampa120588	K01581
Plampa62346	K00382
Plampa276141	K02115
Plampa5393	K16185
Plampa19212	K08967
Plampa98043	K01599
Plampa4852	K06069
Plampa53305	K03768
Plampa303767	K23624
Plampa96550	K19476
Plampa174000	K10807
Plampa67866	K01283
Plampa98976	K01939
Plampa164052	K20718
Plampa301643	K12856
Plampa1731	K23624
Plampa39713	K24936
Plampa2806	K14411
Plampa1874	K00544
Plampa166715	K01950
Plampa1882	K20298
Plampa276060	K00036
Plampa164520	K09498
Plampa163362	K10382
Plampa352690	K17943
Plampa1832	K20044
Plampa3786	K15445
Plampa347633	K09414
Plampa217713	K14299
Plampa63598	K01379
Plampa128322	K12373
Plampa2329	K11967
Plampa357561	K07817
Plampa44018	K06199
Plampa116881	K12868
Plampa6267	K00134
Plampa13675	K10645
Plampa101395	K00134
Plampa126270	K17594
Plampa227832	K19760
Plampa98089	K18442
Plampa1748	K11364
Plampa305014	K14607
Plampa269949	K19801
Plampa310835	K07901
Plampa6462	K07756
Plampa70200	K12460
Plampa218301	K01759
Plampa75390	K12460
Plampa31146	K01507
Plampa16130	K17338
Plampa44131	K08913
Plampa2917	K14613
Plampa302873	K10359
Plampa35882	K12026
Plampa7815	K12800
Plampa35271	K04615
Plampa218135	K03686
Plampa138078	K10341
Plampa222246	K14290
Plampa2880	K13711
Plampa71915	K12831
Plampa12005	K16855
Plampa366875	K02641
Plampa222145	K13420
Plampa223953	K04518
Plampa10472	K10280
Plampa119645	K10380
Plampa5358	K01493
Plampa18297	K16751
Plampa359788	K15272
Plampa104573	K02863
Plampa14918	K01754
Plampa187025	K00033
Plampa15595	K10380
Plampa130710	K00166
Plampa182190	K02880
Plampa28586	K00235
Plampa50191	K10104
Plampa80417	K20352
Plampa67060	K10300
Plampa117134	K10799
Plampa71697	K04646
Plampa227948	K14437
Plampa5590	K02871
Plampa2467	K13094
Plampa30746	K02138
Plampa67536	K05288
Plampa222120	K14683
Plampa276350	K00244
Plampa4626	K02875
Plampa142970	K14777
Plampa267570	K16669
Plampa376894	K02927
Plampa68809	K03654
Plampa2542	K01081
Plampa327331	K17973
Plampa90202	K24350
Plampa261932	K12890
Plampa13577	K04593
Plampa34465	K07497
Plampa3906	K08493
Plampa87790	K07440
Plampa3483	K09485
Plampa168430	K01076
Plampa836	K03165
Plampa256765	K13217
Plampa369089	K00336
Plampa328031	K16803
Plampa239909	K20726
Plampa6407	K04575
Plampa50331	K00544
Plampa9441	K02370
Plampa5588	K15448
Plampa88501	K17849
Plampa361245	K22736
Plampa1104	K03068
Plampa373593	K17275
Plampa3275	K04739
Plampa5285	K01810
Plampa14222	K22614
Plampa226053	K06630
Plampa120043	K09355
Plampa134619	K09469
Plampa520	K14816
Plampa5826	K04365
Plampa128729	K18442
Plampa5750	K24048
Plampa96711	K05337
Plampa267896	K00924
Plampa255338	K00461
Plampa361630	K02896
Plampa21067	K17302
Plampa217134	K04043
Plampa352344	K02894
Plampa236594	K03234
Plampa215344	K24887
Plampa75203	K10380
Plampa35549	K07375
Plampa17351	K24169
Plampa214829	K20359
Plampa12245	K09848
Plampa26810	K00280
Plampa267166	K02492
Plampa28701	K10858
Plampa111720	K07497
Plampa18269	K11584
Plampa79481	K18660
Plampa51225	K05114
Plampa11839	K03023
Plampa30690	K14510
Plampa260879	K12855
Plampa82239	K08272
Plampa179686	K15101
Plampa133904	K20068
Plampa12885	K09624
Plampa13306	K09849
Plampa3985	K20196
Plampa14033	K11127
Plampa72610	K12831
Plampa226747	K03133
Plampa38558	K04606
Plampa180681	K17086
Plampa258886	K17301
Plampa65566	K00522
Plampa210378	K01354
Plampa31416	K05396
Plampa13317	K10358
Plampa7719	K05858
Plampa89000	K03083
Plampa1551	K17286
Plampa301246	K06891
Plampa175	K05749
Plampa111054	K03232
Plampa49369	K09624
Plampa5984	K23215
Plampa210668	K01679
Plampa111248	K22754
Plampa43492	K00710
Plampa4887	K22913
Plampa344209	K08794
Plampa5349	K18441
Plampa32418	K13515
Plampa50500	K16667
Plampa217567	K05694
Plampa15966	K10321
Plampa110878	K14809
Plampa44810	K01672
Plampa166541	K19511
Plampa1292	K16910
Plampa80251	K10593
Plampa33887	K09848
Plampa263797	K11087
Plampa347818	K10529
Plampa101249	K20865
Plampa24440	K05681
Plampa2438	K13783
Plampa7752	K23424
Plampa61932	K05658
Plampa365127	K03798
Plampa59433	K02915
Plampa305920	K24265
Plampa2236	K03107
Plampa133157	K03036
Plampa356448	K04461
Plampa311412	K22746
Plampa17503	K07408
Plampa4293	K13100
Plampa25546	K07955
Plampa53777	K02115
Plampa120350	K01738
Plampa69221	K10203
Plampa112747	K00816
Plampa2701	K16676
Plampa260510	K06704
Plampa2368	K14010
Plampa67446	K01412
Plampa17535	K19511
Plampa219315	K00357
Plampa318036	K01349
Plampa316310	K09864
Plampa51370	K08913
Plampa85756	K08843
Plampa256402	K12169
Plampa26858	K08911
Plampa179148	K00069
Plampa11550	K12036
Plampa351489	K01596
Plampa143612	K04460
Plampa86913	K01638
Plampa169159	K24029
Plampa171298	K18693
Plampa261253	K13238
Plampa313477	K17080
Plampa315366	K03364
Plampa211153	K02209
Plampa19785	K03654
Plampa137977	K24796
Plampa1114	K13754
Plampa47738	K11869
Plampa5153	K00030
Plampa223355	K08635
Plampa85945	K17751
Plampa13385	K09100
Plampa46146	K06052
Plampa27520	K08752
Plampa317159	K13506
Plampa129739	K03008
Plampa119676	K01507
Plampa317665	K20495
Plampa3897	K17986
Plampa18584	K09452
Plampa20	K06699
Plampa65714	K00128
Plampa60996	K07374
Plampa29942	K13126
Plampa47004	K09848
Plampa213887	K11655
Plampa64382	K08057
Plampa38103	K22381
Plampa50394	K02514
Plampa110289	K20792
Plampa256695	K00559
Plampa91511	K12462
Plampa80393	K02989
Plampa304391	K01379
Plampa3862	K05676
Plampa2021	K00036
Plampa35559	K12812
Plampa50928	K13649
Plampa25770	K08960
Plampa3200	K09560
Plampa97358	K04487
Plampa268864	K12196
Plampa6571	K05641
Plampa7317	K07199
Plampa10794	K10645
Plampa7519	K13728
Plampa14805	K15341
Plampa22348	K12852
Plampa71978	K03456
Plampa69574	K09486
Plampa42478	K17279
Plampa76517	K05692
Plampa6222	K18437
Plampa4339	K01783
Plampa53056	K14764
